sales_date,sales_amount,order_count,customer_count,product_count,units_sold,avg_order_value
2010-12-01,58776.790000,127,95,1340,26818,462.809370
2010-12-02,47629.420000,142,99,923,31264,335.418451
2010-12-03,46898.630000,68,50,1133,16158,689.685735
2010-12-05,31364.630000,88,75,1142,16242,356.416250
2010-12-06,54624.150000,102,82,1471,21619,535.530882
2010-12-07,99553.850000,84,65,1277,25180,1185.164881
2010-12-08,45235.360000,116,99,1200,23041,389.960000
2010-12-09,53548.190000,107,90,1258,19898,500.450374
2010-12-10,59021.020000,77,53,1264,20973,766.506753
2010-12-12,17125.650000,44,42,800,10537,389.219318
2010-12-13,37942.370000,70,59,1169,17701,542.033857
2010-12-14,45167.560000,90,73,1010,20255,501.861778
2010-12-15,30384.370000,74,66,755,18453,410.599595
2010-12-16,49114.140000,121,98,922,29860,405.901983
2010-12-17,45338.130000,66,51,1368,16935,686.941364
2010-12-19,7410.470000,23,17,390,3734,322.194348
2010-12-20,26766.230000,61,41,924,14914,438.790656
2010-12-21,47279.890000,55,23,821,15605,859.634364
2010-12-22,6199.970000,17,13,193,3080,364.704118
2010-12-23,12071.910000,27,15,785,5752,447.107778
2011-01-04,16005.730000,36,34,819,8630,444.603611
2011-01-05,32630.270000,55,45,992,19769,593.277636
2011-01-06,40366.450000,50,45,998,23124,807.329000
2011-01-07,28836.590000,53,45,1031,17160,544.086604
2011-01-09,15590.680000,48,48,640,8125,324.805833
2011-01-10,24553.070000,39,32,1096,12861,629.565897
2011-01-11,68630.540000,58,47,943,28437,1183.285172
2011-01-12,24664.580000,45,42,1078,10606,548.101778
2011-01-13,20612.790000,44,41,949,10171,468.472500
2011-01-14,47554.580000,47,37,898,23139,1011.799574
2011-01-16,6976.390000,25,22,422,4086,279.055600
2011-01-17,29262.720000,51,45,1211,13375,573.778824
2011-01-18,95947.730000,41,31,892,82964,2340.188537
2011-01-19,25874.570000,35,33,951,17354,739.273429
2011-01-20,21199.340000,39,30,950,10475,543.572821
2011-01-21,32636.550000,39,32,963,15302,836.834615
2011-01-23,10306.100000,27,27,568,5200,381.707407
2011-01-24,25494.490000,53,43,846,11955,481.028113
2011-01-25,28952.550000,67,57,873,15538,432.127612
2011-01-26,19855.920000,56,49,761,10931,354.570000
2011-01-27,23624.300000,52,50,855,11266,454.313462
2011-01-28,20064.350000,40,36,584,9842,501.608750
2011-01-30,6542.610000,24,22,483,3383,272.608750
2011-01-31,23628.710000,62,50,840,13406,381.108226
2011-02-01,29013.290000,63,57,830,15814,460.528413
2011-02-02,21162.120000,63,55,795,9706,335.906667
2011-02-03,23467.730000,46,44,598,15712,510.168043
2011-02-04,25135.840000,52,41,739,12695,483.381538
2011-02-06,3439.670000,11,11,220,2036,312.697273
2011-02-07,25922.970000,42,35,803,9128,617.213571
2011-02-08,20935.230000,45,37,758,10100,465.227333
2011-02-09,16682.630000,29,22,602,7164,575.263103
2011-02-10,14853.310000,41,39,504,11876,362.275854
2011-02-11,22853.600000,45,34,621,10520,507.857778
2011-02-13,5645.480000,20,20,425,2723,282.274000
2011-02-14,26668.910000,42,36,713,13567,634.974048
2011-02-15,39841.710000,58,47,809,22669,686.926034
2011-02-16,24863.850000,63,56,698,16117,394.664286
2011-02-17,26357.520000,68,50,875,14413,387.610588
2011-02-18,16184.420000,39,34,594,9149,414.985128
2011-02-20,9437.800000,26,26,593,5218,362.992308
2011-02-21,36311.400000,38,31,811,21533,955.563158
2011-02-22,32454.500000,52,47,893,21893,624.125000
2011-02-23,26859.500000,63,49,860,13742,426.341270
2011-02-24,22800.890000,55,52,775,11891,414.561636
2011-02-25,20595.190000,49,42,592,10572,420.310000
2011-02-27,9382.710000,33,31,566,4823,284.324545
2011-02-28,21675.290000,57,49,906,9873,380.268246
2011-03-01,26344.680000,62,52,844,12137,424.914194
2011-03-02,18669.940000,43,40,543,8612,434.184651
2011-03-03,36367.140000,49,46,793,20075,742.186531
2011-03-04,19486.880000,49,38,717,13560,397.691429
2011-03-06,9959.620000,27,24,510,5027,368.874815
2011-03-07,32318.720000,68,49,1045,14006,475.275294
2011-03-08,25035.120000,48,41,883,14537,521.565000
2011-03-09,22013.200000,53,47,755,11861,415.343396
2011-03-10,26118.270000,57,46,656,15583,458.215263
2011-03-11,25473.930000,53,42,605,10521,480.640189
2011-03-13,4117.220000,16,16,416,2733,257.326250
2011-03-14,25876.630000,50,41,679,16737,517.532600
2011-03-15,23453.340000,52,40,722,8941,451.025769
2011-03-16,21842.810000,52,46,582,12883,420.054038
2011-03-17,39852.510000,62,51,1064,20975,642.782419
2011-03-18,28107.650000,64,48,765,13938,439.182031
2011-03-20,21949.680000,60,56,861,14038,365.828000
2011-03-21,16679.470000,53,47,627,10292,314.706981
2011-03-22,31468.230000,53,40,1140,16548,593.740189
2011-03-23,24078.890000,63,55,773,14374,382.204603
2011-03-24,36496.790000,68,63,781,18164,536.717500
2011-03-25,31362.560000,56,45,800,14083,560.045714
2011-03-27,9206.720000,32,31,503,4496,287.710000
2011-03-28,23133.230000,61,52,891,12222,379.233279
2011-03-29,70711.920000,62,46,970,32803,1140.514839
2011-03-30,31821.710000,75,63,877,20621,424.289467
2011-03-31,34268.400000,66,57,869,16832,519.218182
2011-04-01,25565.640000,75,59,742,18459,340.875200
2011-04-03,6897.180000,20,18,523,5658,344.859000
2011-04-04,33234.480000,59,49,907,14004,563.296271
2011-04-05,30052.820000,52,45,705,15558,577.938846
2011-04-06,17338.360000,40,36,713,9156,433.459000
2011-04-07,18465.440000,64,57,832,10508,288.522500
2011-04-08,25240.590000,71,63,825,12985,355.501268
2011-04-10,9879.750000,32,31,635,5603,308.742188
2011-04-11,22345.930000,64,54,756,13632,349.155156
2011-04-12,25534.940000,62,54,647,15311,411.853871
2011-04-13,24450.270000,60,54,662,18752,407.504500
2011-04-14,36084.100000,86,75,770,18858,419.582558
2011-04-15,28311.821000,56,40,718,12717,505.568232
2011-04-17,12630.340000,42,39,620,8136,300.722381
2011-04-18,55983.990000,69,56,1275,29825,811.362174
2011-04-19,24296.850000,59,52,984,14461,411.811017
2011-04-20,28667.320000,63,58,588,18371,455.036825
2011-04-21,32582.200000,77,64,941,18210,423.145455
2011-04-26,30999.880000,71,55,923,16135,436.618028
2011-04-27,25916.150000,65,56,785,18218,398.710000
2011-04-28,22490.440000,59,49,713,13396,381.193898
2011-05-01,6958.110000,18,18,357,3814,386.561667
2011-05-03,35196.210000,66,50,743,12454,533.275909
2011-05-04,27521.960000,65,55,695,17363,423.414769
2011-05-05,29133.410000,89,76,902,17436,327.341685
2011-05-06,36122.980000,82,64,1019,19945,440.524146
2011-05-08,18731.980000,63,58,739,10621,297.333016
2011-05-09,27883.460000,71,59,859,13354,392.724789
2011-05-10,47756.530000,96,63,932,19784,497.463854
2011-05-11,33647.850000,80,56,829,18894,420.598125
2011-05-12,61829.270000,86,68,947,37774,718.945000
2011-05-13,30679.840000,73,52,779,15217,420.271781
2011-05-15,9911.380000,31,29,575,4895,319.721935
2011-05-16,39651.280000,68,52,793,16019,583.107059
2011-05-17,55106.990000,82,56,873,26769,672.036463
2011-05-18,34376.260000,73,62,717,19013,470.907671
2011-05-19,35567.710000,99,82,878,18124,359.269798
2011-05-20,26579.950000,71,58,604,15348,374.365493
2011-05-22,24102.000000,61,57,875,12645,395.114754
2011-05-23,34610.640000,68,55,825,18169,508.980000
2011-05-24,37658.390000,68,53,913,15936,553.799853
2011-05-25,24393.900000,65,52,703,13163,375.290769
2011-05-26,33497.030000,64,50,547,16264,523.391094
2011-05-27,28387.930000,64,49,643,16209,443.561406
2011-05-29,7338.940000,24,20,443,4067,305.789167
2011-05-31,22652.610000,54,48,739,11724,419.492778
2011-06-01,20585.190000,42,35,822,10965,490.123571
2011-06-02,32800.490000,52,33,858,14586,630.778654
2011-06-03,16895.100000,44,37,559,7679,383.979545
2011-06-05,25423.760000,67,62,755,13397,379.459104
2011-06-06,17767.120000,57,54,736,9459,311.703860
2011-06-07,37857.310000,78,68,986,18731,485.350128
2011-06-08,43194.430000,99,71,1043,21260,436.307374
2011-06-09,46341.520000,85,76,990,28265,545.194353
2011-06-10,62234.440000,50,41,639,10669,1244.688800
2011-06-12,12441.940000,39,38,649,9457,319.024103
2011-06-13,22434.760000,59,49,822,11291,380.250169
2011-06-14,40447.530000,57,42,876,14602,709.605789
2011-06-15,48974.630000,59,42,906,30381,830.078475
2011-06-16,34529.010000,83,74,852,20272,416.012169
2011-06-17,21070.470000,52,35,574,11753,405.201346
2011-06-19,22421.480000,60,57,721,15069,373.691333
2011-06-20,37489.240000,74,49,997,16599,506.611351
2011-06-21,24752.870000,55,45,843,14183,450.052182
2011-06-22,21799.320000,60,55,646,15818,363.322000
2011-06-23,25155.630000,72,64,960,14670,349.383750
2011-06-24,19516.290000,51,40,647,9981,382.672353
2011-06-26,7032.360000,26,24,536,3760,270.475385
2011-06-27,16985.310000,45,31,712,9898,377.451333
2011-06-28,35545.830000,55,41,605,21747,646.287818
2011-06-29,22087.470000,42,36,978,12070,525.892143
2011-06-30,44763.510000,70,55,939,21949,639.478714
2011-07-01,13632.210000,49,35,585,7641,278.208367
2011-07-03,5972.730000,25,24,421,3091,238.909200
2011-07-04,44609.030000,52,32,1100,15698,857.865962
2011-07-05,40754.680000,73,58,1144,22092,558.283288
2011-07-06,26361.280000,70,61,999,19165,376.589714
2011-07-07,32412.430000,76,67,1045,19141,426.479342
2011-07-08,27057.350000,65,42,906,12707,416.266923
2011-07-10,5959.540000,24,20,601,4204,248.314167
2011-07-11,22529.660000,52,43,926,15106,433.262692
2011-07-12,26252.850000,53,41,976,13954,495.336792
2011-07-13,22620.610000,59,50,946,16267,383.400169
2011-07-14,33560.260000,71,61,952,17524,472.679718
2011-07-15,14793.830000,42,34,839,7310,352.234048
2011-07-17,17154.260000,51,45,750,11019,336.358039
2011-07-18,38814.880000,65,45,1185,15098,597.152000
2011-07-19,50166.760000,67,57,851,29168,748.757612
2011-07-20,33252.330000,58,47,1050,17676,573.316034
2011-07-21,32695.770000,76,59,869,19907,430.207500
2011-07-22,20119.970000,43,34,875,10270,467.906279
2011-07-24,27080.460000,58,53,649,17661,466.904483
2011-07-25,26876.390000,59,49,1020,16095,455.532034
2011-07-26,21635.561000,53,44,763,13709,408.218132
2011-07-27,25593.740000,48,39,747,13962,533.202917
2011-07-28,56243.320000,80,68,858,30256,703.041500
2011-07-29,18716.540000,64,57,682,11559,292.445938
2011-07-31,33209.680000,42,37,789,19413,790.706667
2011-08-01,21358.640000,40,35,761,11669,533.966000
2011-08-02,26575.550000,44,39,848,15718,603.989773
2011-08-03,28068.200000,64,59,856,16499,438.565625
2011-08-04,65496.790000,82,76,895,41143,798.741341
2011-08-05,21417.130000,55,47,836,12750,389.402364
2011-08-07,7543.860000,30,28,403,5175,251.462000
2011-08-08,23363.010000,40,38,823,13336,584.075250
2011-08-09,27672.240000,42,38,652,16258,658.862857
2011-08-10,28780.050000,49,42,827,14414,587.347959
2011-08-11,72372.890000,69,58,1045,39228,1048.882464
2011-08-12,32231.350000,51,40,711,11978,631.987255
2011-08-14,5701.870000,25,21,380,3172,228.074800
2011-08-15,17235.950000,48,46,614,10173,359.082292
2011-08-16,19234.530000,53,44,662,11184,362.915660
2011-08-17,53284.760000,54,45,939,25649,986.754815
2011-08-18,54059.100000,69,64,854,34028,783.465217
2011-08-19,17336.070000,56,54,556,10664,309.572679
2011-08-21,14420.270000,39,36,656,8081,369.750513
2011-08-22,29645.540000,65,57,732,15542,456.085231
2011-08-23,25978.590000,64,56,816,15172,405.915469
2011-08-24,48789.720000,76,59,946,29360,641.970000
2011-08-25,23773.430000,74,68,751,13316,321.262568
2011-08-26,25610.290000,47,41,623,17125,544.899787
2011-08-28,10686.560000,37,36,734,6701,288.825946
2011-08-30,31837.770000,41,23,1304,10236,776.530976
2011-08-31,25367.220000,47,39,785,12449,539.728085
2011-09-01,37358.620000,76,69,774,27850,491.560789
2011-09-02,42226.280000,74,58,1120,18433,570.625405
2011-09-04,17040.740000,50,45,821,10920,340.814800
2011-09-05,36898.350000,68,57,885,22742,542.622794
2011-09-06,28321.060000,64,54,706,15070,442.516563
2011-09-07,34413.530000,52,42,1086,16390,661.798654
2011-09-08,27055.880000,76,63,933,17404,355.998421
2011-09-09,30016.330000,62,52,911,17358,484.134355
2011-09-11,35206.920000,75,68,1017,20906,469.425600
2011-09-12,29526.290000,68,62,901,16824,434.210147
2011-09-13,55071.300000,67,61,1095,36519,821.959701
2011-09-14,23578.780000,68,58,849,14186,346.746765
2011-09-15,78151.970000,83,70,1007,29281,941.590000
2011-09-16,27720.270000,50,44,800,15051,554.405400
2011-09-18,15639.550000,27,25,829,8937,579.242593
2011-09-19,49250.870000,71,63,765,29248,693.674225
2011-09-20,109553.900000,70,53,895,43683,1565.055714
2011-09-21,48529.720000,75,65,1329,22312,647.062933
2011-09-22,59220.410000,112,94,1193,33144,528.753661
2011-09-23,40574.400000,64,56,1271,21872,633.975000
2011-09-25,31164.781000,75,74,979,19424,415.530413
2011-09-26,29270.841000,66,62,900,15249,443.497591
2011-09-27,36260.910000,80,67,1006,21231,453.261375
2011-09-28,43693.080000,85,72,1299,25530,514.036235
2011-09-29,46343.350000,105,93,1134,27456,441.365238
2011-09-30,44347.060000,74,60,970,22553,599.284595
2011-10-02,11531.560000,35,32,862,8332,329.473143
2011-10-03,66243.940000,68,48,1088,25942,974.175588
2011-10-04,48652.540000,81,65,1190,25284,600.648642
2011-10-05,75460.770000,96,82,1104,46222,786.049688
2011-10-06,62761.920000,122,98,1253,35367,514.441967
2011-10-07,53692.500000,88,74,1068,30914,610.142045
2011-10-09,12273.100000,39,35,798,7285,314.694872
2011-10-10,48121.660000,100,83,1323,26121,481.216600
2011-10-11,52537.310000,82,69,1227,28477,640.698902
2011-10-12,32083.110000,88,73,1061,17639,364.580795
2011-10-13,37232.470000,77,67,1164,18681,483.538571
2011-10-14,36294.580000,74,61,991,18134,490.467297
2011-10-16,21767.940000,35,32,800,8649,621.941143
2011-10-17,51925.610000,89,76,1339,31319,583.433820
2011-10-18,45277.920000,84,73,1236,29285,539.022857
2011-10-19,42467.720000,85,71,1186,19178,499.620235
2011-10-20,60969.140000,89,76,1146,40855,685.046517
2011-10-21,63173.390000,64,56,802,24779,987.084219
2011-10-23,12156.570000,42,39,969,6953,289.442143
2011-10-24,48335.520000,78,61,1326,25922,619.686154
2011-10-25,41192.550000,77,65,1131,26818,534.968182
2011-10-26,37729.470000,95,77,1049,20617,397.152316
2011-10-27,57201.780000,106,91,1135,32761,539.639434
2011-10-28,40455.260000,78,60,858,23998,518.657179
2011-10-30,34397.950000,96,88,1213,19943,358.311979
2011-10-31,57327.450000,72,61,1599,21554,796.214583
2011-11-01,29091.900000,77,74,886,16546,377.816883
2011-11-02,45690.080000,85,79,1238,28488,537.530353
2011-11-03,63425.470000,103,86,1205,34314,615.781262
2011-11-04,62594.590000,94,73,1262,35144,665.899894
2011-11-06,42513.590000,102,88,1312,23089,416.799902
2011-11-07,85705.300000,93,81,1048,31299,921.562366
2011-11-08,57557.030000,108,95,1477,26366,532.935463
2011-11-09,65879.970000,119,101,1245,38139,553.613193
2011-11-10,70868.000000,129,112,1305,38079,549.364341
2011-11-11,55107.870000,105,87,1533,28967,524.836857
2011-11-13,33878.150000,87,75,1259,20686,389.404023
2011-11-14,114237.400000,107,93,1416,47236,1067.639252
2011-11-15,60613.800000,108,93,1456,30318,561.238889
2011-11-16,65672.530000,130,111,1516,32955,505.173308
2011-11-17,60901.320000,137,125,1439,31596,444.535182
2011-11-18,51130.390000,108,98,1239,23921,473.429537
2011-11-20,34509.210000,100,91,1285,19107,345.092100
2011-11-21,49674.600000,100,85,1259,25705,496.746000
2011-11-22,63863.480000,135,120,1504,35367,473.062815
2011-11-23,79847.000000,131,107,1408,39295,609.519084
2011-11-24,50759.210000,113,98,1510,26396,449.196549
2011-11-25,50690.400000,83,69,1378,18923,610.727711
2011-11-27,20279.370000,57,51,1123,10942,355.778421
2011-11-28,56965.730000,115,97,1442,29334,495.354174
2011-11-29,72384.820000,135,109,1557,30809,536.183852
2011-11-30,60025.570000,108,92,1381,28356,555.792315
2011-12-01,52068.630000,121,111,1252,27004,430.319256
2011-12-02,57476.480000,120,95,1314,28690,478.970667
2011-12-04,24477.470000,66,58,1038,12296,370.870758
2011-12-05,88620.840000,127,105,1767,44497,697.801890
2011-12-06,56558.830000,115,103,1421,30377,491.815913
2011-12-07,75315.550000,106,94,1113,41789,710.524057
2011-12-08,82371.550000,120,105,1665,35010,686.429583
2011-12-09,200900.980000,44,35,1082,93949,4565.931364
